,Organizations,About,Technology,Category,Topics,Count,Last Appeared
24,apertusÂ° Association,Open Technology for Professional Film Production,"linux, c/c++, fpga, vhdl, embedded",Graphics / Video / Audio / Virtual Reality,"computer vision, camera, image processing, computational photography, digital imaging",3,2021
25,API Client Tools at Google,Industry-leading user experiences for networked APIs.,"openapi, grpc, protocol buffers, rpc, rest",Programming Languages and Development Tools,"apis, automation, code generation, api description",1,2019
26,appleseed,A modern open source rendering engine for animation and visual effects,"c++11, python, opengl",Graphics / Video / Audio / Virtual Reality,"computer graphics, image synthesis, rendering, animation, simulation",2,2020
27,appleseedhq,A modern open source rendering engine for animation and visual effects,"c++11, python, opengl",Graphics / Video / Audio / Virtual Reality,"computer graphics, image synthesis, rendering, animation, simulation",3,2019
28,ArchC,ArchC is an Architecture Description Language,"c++, python, archc",Programming Languages and Development Tools,"computer architecture, processor design, simulators",1,2016
29,Arches Project,,,,,1,2014
30,Arduino,Open source electronic prototyping platform,"arduino, golang, c/c++",Programming Languages and Development Tools,"electronics,  robotics, interactivity",1,2020
31,ArduPilot,"The world's most versatile, trusted and open autopilot","python, linux, c/c++, drones, robotics",Other,"robotics, embedded systems, real-time, drones, vison",4,2021
32,Ardupilot.org,The worlds most advanced open source autopilot,"drones, python, linux, robotics, c/c++",Other,"vison, robotics, embedded systems, real-time os, drones",1,2019
33,Artica ST ( Pandora FMS ),,,,,1,2012
34,ASCEND,Equation-solving software for engineering system modelling,"python, c, c/c++",Science and Medicine,"engineering, simulation, system modelling, mathematical software, solver",6,2016
35,Association Gephi,,,,,1,2009
36,Association Tatoeba,,,,,1,2014
37,Astrometry.net,,,,,1,2011
38,Atheme.org,,,,,1,2009
39,Atomic Blue,,,,,1,2011
40,Audacity,"Free, open source, cross-platform audio software",c++,Graphics / Video / Audio / Virtual Reality,"audio, audio editor, audio analysis, audio processing",2,2021
41,Babel,"Babel, the community driven compiler for writing next generation JavaScript","javascript, babel, nodejs",Programming Languages and Development Tools,"compilers, ast, minifier, tc39",1,2017
42,Battle for Wesnoth,,,,,5,2014
43,Bazel,"Build and test software of any size, quickly and reliably","windows,  c/c++,  java, bazel",Programming Languages and Development Tools,"build tools, developer tools",2,2019
44,BeagleBoard.org,Open hardware community driven single board computers - Linux at the edge,"linux,  tensorflow,  python,  javascript,  opencv",Programming Languages and Development Tools,"robotics, iot, teaching, real-time, embedded",7,2020
45,BeagleBoard.org Foundation,"Community supported open hardware for makers, innovators and educators","linux, fpga, arm, risc-v, dsp",Programming Languages and Development Tools,"robotics, iot, ai, open hardware, process automation",3,2021
46,Beam Community,"From distributed systems, to robust servers and language design on the Erlang VM","erlang, xmpp",Programming Languages and Development Tools,"distributed computing, real time, distributed databases, iot, instant messaging",6,2018
47,BeeWare Project,Tools for cross-platform Python application development.,"python, ios, android, javascript,  java",Programming Languages and Development Tools,"mobile, cross desktop, app development",2,2018
48,Bench-Routes,Bench-routes is an open-source project to analyze performance and monitor APIs.,"react, golang, docker",End User Applications,"monitoring, web, devops, time-series",1,2021
49,Benetech,,,,,3,2014
50,Berkman Center at Harvard University,,,,,2,2010
51,Berkman Center for Internet & Society at Harvard University,,,,,1,2012
52,Berkman Center for Internet and Society,An interdisciplinary university-wide research center focused on the Internet,"ruby on rails, javascript, sql/nosql, meteor.js, go",,"censorship, education, internet freedom, digital rights, law and policy",1,2016
53,Berkman Klein Center for Internet & Society at Harvard University,"Exploring cyberspace, sharing in its study, and helping pioneer its development.","ruby on rails, meteor.js, elasticsearch, javascript, elk",Other," web,  research, education, internet freedom, internet censorship",1,2018
54,Berkman Klein Center for Internet and Society,"Exploring cyberspace, sharing in its study, & helping to pioneer its development","ruby on rails, meteor.js, elasticsearch,  python,  java",Other,"web, research, education, internet freedom, internet censorship",1,2019
55,Berkman Klein Center for Internet and Society at Harvard University,"exploring cyberspace, sharing in its study & pioneering its development","ruby on rails, meteor.js, d3, elasticsearch, javascript ",Web,"digital rights, internet access, security and privacy, law,  web",1,2017
56,BigBlueButton,,,,,1,2010
57,Bika Open Source LIMS Collective,,,,,1,2015
58,Bio4j,,,,,1,2014
59,Bioconductor open source software for bioinformatics,,,,,1,2013
60,BioGears,ARA is an employee-owned scientific research and engineering company.," c++11, c/c++,  python, cmake",Science and Medicine,"physiology, pharmacological modeling, computational biology, mathematical software",1,2020
61,biographer,,,,,1,2012
62,BioJavaScript,,,,,1,2014
63,BioJS,BioJS is an open source project that visualizes biological data using JavaScript,"javascript, python",Science and Medicine,"javascript, bioinformatics, life sciences, coding standards, visualization",1,2016
64,"Biomedical Informatics, Emory University","Department of Biomedical Informatics (BMI), Emory University School of Medicine","python, java, deep learning, medical imaging, tensorflow",Science and Medicine,"data integration, distributed systems, cloud, precision medicine, science and medicine",4,2019
65,Blender Foundation,We build a free and open source 3D creation suite.,"c, python, opengl, c++, vulkan",Graphics / Video / Audio / Virtual Reality,"virtual reality, graphics, rendering, 3d tools, 3d animation",12,2021
66,"Bloomington, IN",,,,,1,2012
67,"Bloomington, IN, USA",,,,,1,2013
68,BlueZ,,,,,4,2012
69,"BOINC project, University of California, Berkeley",,,,,1,2012
70,Bookie,,,,,1,2014
71,Boost C++,Boost provides free peer-reviewed portable C++ source libraries," c++17, c++11, c++",Programming Languages and Development Tools,"programming libraries, c++, peer-reviewed libraries, c++ standard",2,2020
72,Boost C++ Libraries,Boost provides free peer-reviewed portable C++ source libraries,"c++, c++11, c++14, c++17, c++20",Programming Languages and Development Tools,"algorithms, image processing, c++, data structures",9,2021
73,Boston University / XIA,Crowdsourcing the future Internet,"xia, linux kernel, c, advanced data structures,  ddos",Cloud,"computer networking, future internet architecture, research",4,2018
74,BRL-CAD,"We do computer graphics, 3D printing, & develop computer-aided tech (CAx)","python, c/c++, opengl, opencl, scripting",Graphics / Video / Audio / Virtual Reality,"visualization, geometry, high performance computing, 2d/3d graphics, ray tracing",12,2021
75,Buildbot,,,,,4,2015
76,BuildmLearn,Building m-Learning applications,"python, django, bootstrap, android",End User Applications,"mlearning, mobile app, web apps, education",3,2016
77,Buildroot,Making Embedded Linux easy,"gnu make, kconfig, python, shell",Programming Languages and Development Tools,"embedded systems, linux, build tools, compilation",1,2019
78,BumbleBee Autonomous Underwater Vehicle (BBAUV),,,,,1,2014
79,BZFlag,,,,,1,2009
80,Cadasta,"Transforming the way land & resource rights are documented, managed and stored.","python, django, javasc, javascipt",End User Applications,"web, land rights, mapping, geo, geospatial",1,2017
81,caMicroscope,Toolkit for cancer imaging research,"python, javascript, mongodb, tensorflow, medical imaging",Science and Medicine,"machine learning, distributed systems, science and medicine, data integration",2,2021
82,Canadian Center for Computational Genomics,Analytical solutions for Next-Generation Sequencing data,"python,  r-project,  javascript,  react,  nodejs",Science and Medicine,"bioinformatics,  science,  visualization,  statistics,  web",1,2019
83,Canadian Centre for Computational Genomics,Analytical solutions for Next-Generation Sequencing data,"python, r-project, javascript, react, nodejs",Science and Medicine,"bioinformatics, data science, visualization, statistics, web development",2,2020
84,Canadian Centre for Computational Genomics (C3G) - Montreal node,Analytical solutions for Next-Generation Sequencing data,"python, r-project, javascript, sql, git",Science and Medicine,"bioinformatics, visualization, statistics, genomics, population genetics",1,2016
85,Casbin,"Authorization library that supports access control models like ACL, RBAC, ABAC","python, javascript, java, nodejs, golang",Security,"security, web, cloud",2,2021
86,CASTOR,Trustworthy software intensive systems for critical functions.,"java, scala, bytecode",Programming Languages and Development Tools,"testing, software analysis, optimization, development, automated program repair",1,2021
87,Catrobat,Computational thinking for all with free visual coding apps," java,  android, swift, ios, php",Programming Languages and Development Tools,"visual programming, app development, gaming, creativity tools, education",5,2020
88,Catrobat (formerly Catroid Project),,,,,1,2014
89,Catroid Project,,,,,3,2013
90,cBioPortal for Cancer Genomics,Developing open source solutions for discovery from complex cancer data,"java, javascript, reactjs, database, web apps",Data and Databases,"genomics, bioinformatics, big data, data visualization, cancer research",3,2019
91,CBMI@UTHSC,We develop Biomedical and Clinical informatics applications,"reactjs,  python, flask, javascript, tensorflow",Science and Medicine,"machine learning, deep learning, sepsis prediction, sepsis detection,  web applications",1,2019
92,CCExtractor Development,Now in Rust,"c, python, rust, flutter",Graphics / Video / Audio / Virtual Reality,"video, subtitles, media, bittorrent",8,2021
93,Celluloid,Painless multi-threaded multi-core programming for Ruby.,"ruby, multi-threading, multi-core, zeromq, high-resolution timers",Programming Languages and Development Tools,"concurrency, parallel, evented, distributed, actor model",1,2016
94,Center for Research In Open Source Software (CROSS) at UC Santa Cruz,Bridging the Gap Between Student Work and Open Source Software Projects,"ceph, hadoop, c++, javascript,  python",Other,"distributed networks, reproducibility, storage systems, big data, opendata",1,2018
95,"Center for Research in Open Source Software, UC Santa Cruz",Bridging the Gap Between Student Work and Successful Open Source Projects,"c/c++, robotics, c++17, ceph, arrow",Other,"databases, hardware, storage, sensors, callibration",1,2021
96,Center for Research in Open Source Software at UC Santa Cruz,Bridging Gap Between Student Work and Successful Open Souce Projects,"python,  javascript,  c/c++, verilog",Other,"cloud databases, reproducibility, ceph, architecture, generative text",1,2019
97,"Center for the Study of Complex Systems, University of Michigan",,,,,1,2011
98,"Center for the Study of Complex Systems, Univ of Michigan",,,,,1,2009
99,CentOS Project,,,,,1,2015
100,"Centre for Computational Medicine, SickKids Research Institute",,,,,1,2014
101,Ceph,The Future of Storage,"python, javascript, c++, angular, typescript",Data and Databases,"distributed systems, storage",4,2021
102,Ceph Foundation,The Future of Storage,"c/c++, jenkins,  python,  javascript, shell script",Other," distributed systems, software defined storage",1,2020
103,Ceph Storage,,,,,1,2015
104,CERN-HSF,The umbrella organization for Particle (High-Energy) Physics-related projects,"python, c/c++, data analysis, concurrency, container orchestration",Science and Medicine,"machine learning, performance optimization, algorithmics, particle physics, big data science",5,2021
105,CERN SFT,The SFT is part of CERN (European Organization for Nuclear Research).,"c++, python, javascript, clang",Science and Medicine,"numerical and data analysis software, simulation software, cloud, machine learning",5,2016
106,CERN Virtual Machine (CernVM),,,,,1,2011
107,Cesium Community,,,,,2,2015
108,CGAL - Computational Geometry Algorithms Library ,,,,,3,2012
109,CGAL Project,C++ library of computational geometry and geometry processing,"c/c++, qt",Science and Medicine,"geometry, mesh processing, computation geometry, geometry processing",4,2021
110,CHAOSS,CHAOSS creates software and metrics to better understand community health,"python, javascript, kibana, elasticsearch, mysql",Other,"community health, analytics",2,2020
111,CHAOSS: Community Health Analytics Open Source Software,Advacing open source project health and sustainability,"python 3,  javascript",End User Applications,"data visualization, visualization, machine learning",1,2018
112,CHAOSS Project,Creating analytics and metrics to help define open source community health.,"python, elk, vue, nltk, fossology",Other,"metrics, community, analytics, dependencies, diversity and inclusion",1,2021
113,Chapel,A Productive Parallel Programming Language,"c, python, c++, chapel, high performance computing",Programming Languages and Development Tools,"compilers, programming languages, distributed computing, high performance computing, parallel computing",5,2021
114,Checker Framework,"Prevent programming errors before they happen, via easy-to-use verification", java,Programming Languages and Development Tools,"programmer productivity, software engineering, verification, bug finding, type systems",4,2020
115,Checkstyle,Tool to help programmers write Java code that adheres to a coding standard.,"java, antlr",Programming Languages and Development Tools,"static code analysis\u200e, code review tool, coding standards, coding conventions",4,2021
116,Chromium,"Fast, seamless, safe, and reliable computing experiences accessible for all.","python, javascript, java, c++, git",Web,"web, browser, operating-system",4,2021
117,Cilium,"eBPF-based Networking, Security, and Observability","c, linux, go, kubernetes, ebpf",Cloud,"networking, kernel, cloud-native",1,2021
118,CircuitVerse.org,Build and learn logic circuits in the cloud!,"javascript, machine learning, rails, canvas, internationalization",Web,"education, web, simulations, pedagogy, digital logic design",3,2021
119,CiviCRM,Open source CRM for nonprofits and civic sector organizations.,"php,  javascript, angularjs, mysql",Data and Databases,"crm, nonprofits",5,2020
120,CiviCRM LLC,Growing and sustaining relationships,"mysql, php, angular",End User Applications,"nonprofit, crm",2,2021
121,Classical Language Toolkit,NLP for the Ancient World," python,  javascript",Other,"natural language processing,  web",3,2018
122,Climate Code Foundation,,,,,2,2012
123,"CLiPS, University of Antwerp",Computational Psycholinguistics," python,  javascript, mongodb",Data and Databases,"natural language processing, machine learning, artificial intelligence, text analytics, text generation",3,2019
124,Clojure,Supporting the Clojure and ClojureScript ecosystem,"clojure, clojurescript, jvm, javascript, functional programming",Programming Languages and Development Tools,"programming language, development tools, compilers, functional programming, build systems",4,2017
125,Clojure/dev,,,,,1,2012
126,CloudCV,Building platforms for reproducible AI research,"python, django, docker, angular, aws",Cloud,"machine learning, artificial intelligence, computer vision, deep learning, reinforcement learning",7,2021
127,Cloud Native Computing Foundation (CNCF),Building Sustainable Ecosystems for Cloud Native,"kubernetes, golang, cloud, rust, service mesh",Cloud,"cloud,  web, devops, kubernetes, service mesh",4,2020
128,CMU Sphinx,"Fast, Accurate, Flexible Open Source Speech Recognition","c, cross-platform, hidden markov models, javascript ,  python",Graphics / Video / Audio / Virtual Reality,"speech recognition, user interface, real time, education, pronunciation",2,2017
129,CMUSphinx Speech Recognition Toolkit,,,,,1,2011
130,CNCF,Building sustainable ecosystems for cloud native software,"go, rust, kubernetes",Cloud,cloud computing,1,2021
131,coala,Linting and Fixing Code for All Languages,"django, haskell, python 3, docker, antlr",Programming Languages and Development Tools,"devops, static code analysis\u200e, chat",4,2021
132,CodeCombat,,,,,1,2014
133,Code for America,,,,,3,2013
134,CodeMirror,,,,,1,2014
135,Comprehensive C Archive Network,,,,,1,2009
136,Computational Biology @ University of Nebraska-Lincoln,"Tool development in bioinformatics, computational biology, data visualization","javascript, react, postgresql, webgl",Science and Medicine,"web application, bioinformatics, computational biology, data science, network biology",4,2019
137,Computational Science and Engineering at TU Wien,We bundle TU Wien's open source efforts in the area of science and engineering,"javascript, html, css, java, c++",Science and Medicine,"science and enineering, internet of things, visualization, simulation, mesh generation",5,2016
138,Connexions,,,,,2,2012
139,Continuous Delivery Foundation,Open-source community seeking to deliver software with security & speed,"jenkins, tekton, spinnaker, ortelius, screwdriver.cd",Programming Languages and Development Tools,"developer tools, continuous delivery, great developer tooling",2,2021
140,Conversations.im,An open source instant messaging client and ecosystem based on Jabber & XMPP,"java, android, xmpp, gtk, javascript",Social / Communications,"instant messaging, mobile, desktop, web",2,2018
141,Copyleft Games,"Game libraries, frameworks, and development toolkits","python, opengl, javascript, c, xmpp",Graphics / Video / Audio / Virtual Reality,"graphics, networking, web, education",4,2017
142,coreboot,"Fast, secure and flexible OpenSource firmware","c, assembly, x86, arm",Operating Systems,"firmware, boot loader, drivers, hardware",9,2020
143,Creative Commons,"Nonprofit building a vibrant, collaborative, and global digital commons."," javascript, vue.js,  python, django, wordpress",Web,"copyleft, web, creative commons, legal, nonprofits",6,2020
144,CRIU,Checkpoint/Restore in User-space,"c, python, linux kernel",Operating Systems,"operating systems, containers, live migration, checkpoint-restore",2,2021
145,CRIU (Checkpoint/Restore in User-space),CRIU (Checkpoint/Restore in User-space),"docker, linux, containers, kernel",Operating Systems,"cloud, save/restore, load-balancing, zero-downtime, migration",1,2019
146,Crowdsourcing Biology,,,,,1,2012
147,Crowdsourcing Biology at the Scripps Research Institute,,,,,1,2013
148,Crypto Stick,,,,,2,2014
149,Crystal Space,,,,,6,2014
150,Cuneiform Digital Library Initiative,International digital library of artifacts inscribed with cuneiform writing,"python, mariadb, rdf, php, nltk",Data and Databases,"natural language processing, machine translation, information retrieval, linguistics, semantic web",1,2018
151,Cuneiform Digital Library Initiative (CDLI),International digital library of artifacts inscribed with cuneiform writing,"python, mysql, javascript, java, php",Data and Databases,"digitization, cultural heritage, nlp",3,2021
152,CVXPY,CVXPY is a Python-embedded modeling language for convex optimization problems.,python,,"convex optimization, optimization, dsl",1,2016
153,darktable,,,,,1,2011
154,Dart,Dart is a client-optimized language for fast apps on any platform.,"flutter, dart, programming-language",Programming Languages and Development Tools,mobile apps,2,2021
155,DBpedia,Global and Unified Access to Knowledge Graphs,"python, javascript, scala, rdf, sparql",Data and Databases,"data science, natural language processing, data analytics, knowledge graphs, data extraction",5,2021
156,DBpedia & DBpedia Spotlight,,,,,3,2015
157,dbpediaspotlight,"Information Extraction framework from Wikipedia, Wikidata & Commons","java, scala, rdf, python, nosql",Data and Databases,"natural language processing, big data, semantic web, data science",2,2016
158,Debian,The Universal Operating System,"python, javascript, c/c++, git, irc",Operating Systems,"operating systems, packaging, android-sdk, clojure, debian-ci",4,2021
159,Debian Project,the universal operating system,"javascript,  ruby,  java,  python, c/c++",Operating Systems,"operating system, packaging, applications, community, communications",8,2018
160,DeepPavlov,Open-source Conversational AI Stack,"python, tensorflow, docker, python deep learning frameworks, pytorch",Other,"nlp, conversational, agent",1,2021
161,"Department of Biomedical Informatics (BMI), Emory University School of Medicine",Data science and integrative biomedical research to advance healthcare,"python, java, tensorflow, medical imaging, deeplearning",Science and Medicine,"cloud, distributed systems, science and medicine, data integration, workflows",1,2021
162,"Department of Biomedical Informatics, Stony Brook University",,,,,1,2015
163,"Dept. of Biomedical Informatics, Emory University",,,,,2,2013
164,Developers Italia,An open community of digital public services developers,"python, go, scala, node.js, html/css/js",Other,"open government, public code,  open source,  web applications, open data",2,2019
165,D Foundation,The D Foundation leads development of the D Programming Language.,"dlang, c++",Programming Languages and Development Tools,compilers,1,2016
166,Differ,,,,,1,2012
167,Digital Impact Alliance,Supporting open source projects for a digital society that serves everyone.," android, java, php, python, javascript",Other,"end user application, humanitarian, international, social good, charity",2,2019
168,Digital Impact Alliance (DIAL) at UN Foundation,"Open source projects for humanitarian work, international development, and peace","python, linux, javascript, android, many more",Other,"humanitarian, nonprofit, humanrights, international, global",2,2021
169,Digital Mars,,,,,2,2012
170,Discourse,Civilized discussion for your community.,"ruby on rails, ember,  ruby, javascipt, html/css",Social / Communications,"asynchronous, forum, community,  real time, web development",2,2017
171,Distributed and Unified Numerics Environment (DUNE),DUNE is a modular toolbox for solving PDEs with grid-based methods.,"c++, python, cmake",Science and Medicine,"partial differential equations, physics, mathematics, high performance computing, scientific computing",2,2016
172,Django Software Foundation,The web framework for perfectionists with deadlines.,"python, django",Web,web development,12,2021
173,DocBook Project,,,,,2,2012
174,Dojo Foundation ,,,,,1,2010
175,DokuWiki,,,,,1,2011
176,D Programming Language,"Fast code, fast.","dlang, linux, windows, osx, bsd",Programming Languages and Development Tools,"programming languages, object-oriented programming, functional programming, web programming, system programming",1,2019
177,Dr. Memory,,,,,1,2014
178,DragonFly BSD,,,,,5,2013
179,Dreamwidth Studios,,,,,1,2010
180,Drizzle,,,,,3,2012
181,Drizzle Database,,,,,1,2013
182,Drupal,Drupal is a Framework/CMS. It's built many of the sites and apps you use daily.,"php, symfony, sql, javascript, drupal 8",Web,"web development, cms, apps, mobile-apps, object oriented programming",11,2020
183,DSpace Foundation,,,,,1,2009
184,DuraSpace,,,,,2,2011
185,e-cidadania,,,,,1,2012
186,Earth Science Information Partners,Supporting community development of visionary Earth science data technology.,"python, kubernetes, jupyter, deep learning, gdal",Science and Medicine,"earth observation, cloud databases,  data visualisation, semantic web, data-science",1,2019
187,Earth Science Information Partners (ESIP),Making Earth science data matter.," kubernetes,  dask,  xarray,  python, javascript",Data and Databases,"earth data, semantics, discovery, data visualization, earth science",1,2018
188,Eclipse Foundation,"Non-profit, member-driven organization, a community of developers & OSS projects","eclipsejavaide, jakartaee,  java, che, deep learning",Other,"cloud native java, automotive, tools,  robotics, iot & edge",3,2020
189,Eclipse Vert.x,Eclipse Vert.x is a tool-kit for building reactive applications on the JVM,"java, reactive extensions, kotlin, microservices, event-loop",Programming Languages and Development Tools,"reactive, unopionated, polyglot, distributed, high performance computing",1,2017
190,"Ecole Polytechnique Federale de Lausanne, Scala Team",,,,,1,2011
191,Elastic,"We are the creators of Elasticsearch, Kibana, Beats, and Logstash."," java,  react, node.js, golang",Data and Databases,"databases, search, security, observability",2,2020
192,Electronic Frontier Foundation/The Tor Project,,,,,2,2012
193,Elgg,,,,,1,2011
194,Elm Software Foundation,A delightful functional language for reliable webapps.,"elm, javascript, haskell",Programming Languages and Development Tools,"functional programming, compilers, web applications, programming languages, user interface",1,2017
195,Elm Tooling,Improving your Elm experience!,"functional programming, typescript, elm",Programming Languages and Development Tools,"web, linter, tooling, parser",1,2021
196,Embox,Modular and configurable OS for embedded applications,"c, gcc,  assembly",Operating Systems," embedded systems, rtos",1,2020
197,Encyclopedia of Life,,,,,1,2015
198,Environmental Data And Governance Initiative,International network addressing threats to US environmental & energy policy,"python, javascript, ruby on rails, google cloud, go",Data and Databases,"crawling, api, open data, machine learning, open science",1,2017
199,Erlang Ecosystem Foundation,Supporting the Beam community,"erlang, elixir, lfe, beam",Programming Languages and Development Tools,"language, soft real-time,  distributed systems, messaging, instant messaging",1,2020
200,ES Operating System,,,,,1,2009
201,ESUG (European Smalltalk User Group),,,,,2,2013
202,Eta,Eta is a dialect of Haskell on the Java Virtual Machine.,"haskell, jvm,  java",Programming Languages and Development Tools,"functional-programming, runtime systems, compilers, programming-tools",1,2018
203,Etherboot Project,,,,,3,2011
204,European Smalltalk User Group (ESUG),,,,,1,2010
205,"European Space Agency, The Advanced Concepts Team",,,,,1,2010
206,Evergreen,,,,,1,2012
207,Evergreen Project,,,,,1,2011
208,Expert Labs,,,,,1,2010
209,Facebook,,,,,1,2010
210,Fedora Project,"Fedora Linux is built on the foundations of Freedom, Friends, Features, & First","python 3, rest, linux, web development, linux distribution",Operating Systems,"containers, linux, distribution, mobile, web development",5,2020
211,Fedora Project & JBoss.org (Red Hat),,,,,1,2009
212,FFmpeg,"A complete, cross-platform solution to record, convert and stream audio & video","c, assembler",Graphics / Video / Audio / Virtual Reality,"audio, video, subtitles, multimedia, images",9,2021
213,FFmpeg / Libav,,,,,1,2011
214,FiberCorps,,,,,1,2011
215,Fiji,,,,,1,2009
216,Flowgrammable,,,,,1,2014
217,fluxbox,,,,,1,2011
218,Formal Systems Laboratory at UIUC,,,,,1,2012
219,Fortran-lang,Fortran Programming Language,"python, c/c++, llvm, compiler, fortran",Programming Languages and Development Tools,"science, engineering, numerical computing, libraries, high-performance computing",1,2021
220,FOSDEM,The organization that handles all aspects of the FOSDEM conference,"javascript, grafana, voctomix, influxdb, ruby on rails",Programming Languages and Development Tools,"conference, web development, rails application, video processing",2,2019
221,FOSDEM VZW,The organization that handles all aspects of the FOSDEM conference,"ruby on rails, postgresql, git",Programming Languages and Development Tools,"web, programming tools, programming, programming languages, ruby",1,2016
222,FOSSASIA,Improving People's live with Open Tech,"javascript, python, java, reactjs, c",Other,"artificial intelligence, event management, open science, voice assistants, search",8,2019
223,FOSSology,Open Source Compliance with Open Source Tools,"python, postgresql, javascript, c/c++, php",Other,"compliance, licensing, license management",3,2021
224,FOSSology Project,FOSSology is an open source license compliance software system and toolkit.,"postgresql, php,  c/c++, jquery, bash",Other,"compliance, license-scan, oss licensing, spdx, oss compliance",1,2019
225,Foundation for Learning Equality,,,,,1,2015
226,FrameNet Brasil (UFJF),Natural Language Understanding with structured computational semantics,"python, mysql, javascript, php",Data and Databases,"natural language processing, natural language understanding, multilinguality, multimodal communication",2,2021
227,FrameNet Brasil at the Federal University of Juiz de Fora,Natural Language Understanding with structured computational semantics,"php, mysql, javascript,  python",Data and Databases,"natural language processing, multimodality, natural language understanding, image processing, machine translation",1,2019
228,Free and Open Source Silicon Foundation,Working together to improve the Free and Open Source Silicon ecosystem,"verilog, risc-v, compiler, web development, jenkins",Other,"hardware, debug, web services, simulation, electronic design tools",6,2021
229,FreeBSD,FreeBSD: The Foundation of the Internet," c/c++, llvm, shell script,  assembly, make",Operating Systems,"virtualization,  kernel, cloud,  embedded systems, security",9,2019
230,FreeBSD Project,FreeBSD: The Foundation of the Internet,"llvm, assembly, shell script, make, c/c+",Operating Systems,"virtualization, operating systems, embedded systems, cloud, kernel",2,2021
231,FreedroidRPG,,,,,2,2011
232,Freenet Project Inc,,,,,5,2014
233,Freeseer recording and streaming suite,,,,,1,2012
234,Freeseer video recording and streaming suite,,,,,1,2011
235,Free Software Initiative of Japan,,,,,1,2009
236,FreeType,A software library to render fonts.,c,Graphics / Video / Audio / Virtual Reality,"graphics, rendering, fonts, opentype, truetype",4,2021
