Organizations,About,Technology,Category,Topics
The Wine Project,"Wine runs Windows applications on Linux, BSD, Solaris, macOS and Android."," directx,  x11,  win32, opengl, c",Other,"compatibility, desktop integration, 3d, directx, opengl"
TimVideos.us,"Software+hardware for recording & streaming conferences, meetings, user groups.","fpga, verilog, python, c",Graphics / Video / Audio / Virtual Reality,hardware
TLA+,"TLA+ is a formal specification language used to design, model and verify systems","java, tla+, eclipse, ocaml, smt",Programming Languages and Development Tools,"formal methods, algorithms"
UCSC Xena,Helping biologists see the bigger picture in diverse cancer genomics data," javascript, python, clojure, react, jvm",Science and Medicine,"bioinformatics, data visualization, web applications, cancer, genomics"
VideoLAN,Open Source Multimedia everywhere,"c, c++, go, vue.js",Graphics / Video / Audio / Virtual Reality,"multimedia, audio, video, 3d, vr"
ViSP,Visual tracking and visual servoing library,c/c++,Graphics / Video / Audio / Virtual Reality,"robotics, computer vision"
vitrivr,vitrivr - the open-source multimedia search engine,"java, angularjs, spark, grpc",Data and Databases,"retrieval, multimedia, video, audio, 3d"
webpack,webpack is THE build tool for modern web applications run on NodeJS,"javascript, web development, html5/css3, node.js, webassembly",Programming Languages and Development Tools,"tooling, toolchains, compilers, parser, web performance"
Wikimedia Foundation,Global movement whose mission is to bring free educational content to the world,"php, javascript, ruby on rails, android, reactjs",Web,"wikipedia, wikimedia, mediawiki, web, education"
WorldBrain.io - Verifying the Internet,Bookmarking extension that works like your brain - full-text search everything.,"react, javascript, browser extension, datproject",End User Applications,"search, fake-news, decentralization, misinformation, bookmarking"
X.org Foundation,"X Window System and related projects (Mesa, DRI, Wayland, etc.)","opengl, vulkan, x11, wayland, opencl",Graphics / Video / Audio / Virtual Reality,"graphic stack, 3d acceleration, 2d acceleration, media acceleration, windowing system"
Xapian Search Engine Library,"Fast, scalable and flexible search","c++, unicode, swig, linux, golang",Data and Databases,"search, information retrieval, machine learning, linguistics, indexing"
XBMC Foundation,The ultimate entertainment center,"python, c/c++, github, mysql",Graphics / Video / Audio / Virtual Reality,"home theater, audio, video"
Xi Editor Project,A modern text editor with a backend written in Rust.,"rust, swift",End User Applications,"text editing, ide"
xpra.org,"Screen for X11, remote desktop platform.","python, javascript, compression, remote access, cython",End User Applications,"graphics, remote access"
XWiki,The Advanced Open Source Enterprise Wiki," java, javascript, html5, css3, velocity",Web,"web development, wiki, platform, web applications, structured data"
Zulip,"Powerful, modern, open source team chat, complete with apps for every platform.","python, django, javascript, react native, electron",Social / Communications,"web development, team chat, mobile applications, visual design"
