,Organizations,About,Technology,Category,Topics
26,CERN-HSF,"CERN-HEPSoftwareFoundation, umbrella organization for particle physics in GSoC","python, c/c++, machine learning, data analysis, parallel algorithms",Science and Medicine,"particle physics, high-energy physics, machine learning, physics, big data"
27,Chapel,a Productive Parallel Programming Language,"chapel, python, high performance computing, c, c++",Programming Languages and Development Tools,"programming languages, compilers, high performance computing, distributed computing, parallel computing"
28,Checker Framework,"Preventing programming errors before they happen, via easy-to-use verification",java,Programming Languages and Development Tools,"programmer productivity, software engineering, verification"
29,Checkstyle,Dev tool to help programmers write Java code that adheres to a coding standard.," java, antlr",Programming Languages and Development Tools,"static code analysisâ€Ž, code review tool, coding standards,  coding conventions"
30,Classical Language Toolkit,NLP for the ancient world," python, javascript",Other,"nlp, ai, machine, machine learning, machine trans"
31,"CLiPS, University of Antwerp",Computational (Psycho)Linguistics,"python, machine learning, mongodb, javascript ",Data and Databases,"text analytics, machine learning, computational linguistics, artificial intelligence, data mining"
32,Clojure,Supporting the Clojure and ClojureScript ecosystem,"clojure, clojurescript, jvm, javascript, functional programming",Programming Languages and Development Tools,"programming language, development tools, compilers, functional programming, build systems"
33,Cloud Native Computing Foundation (CNCF),The CNCF is a nonprofit committed to the development of cloud native technology,"kubernetes, go, prometheus, fluentd, grpc",Cloud,"cloud, cloud native, monitoring, logging, tracing"
34,CloudCV,Building platforms for reproducible AI research," python, django, angularjs, reactjs,  deep learning",Cloud,"artificial intelligence, machine learning, computer vision, web development, cloud computing"
35,CMU Sphinx,"Fast, Accurate, Flexible Open Source Speech Recognition","c, cross-platform, hidden markov models, javascript ,  python",Graphics / Video / Audio / Virtual Reality,"speech recognition, user interface, real time, education, pronunciation"
36,coala,Linting and Fixing Code for All Languages,python,Programming Languages and Development Tools,code analysis
37,Computational Biology @ University of Nebraska-Lincoln,Development of software technologies for biomedical research and applications.,"javascript, react, java, webgl, mysql",Science and Medicine,"computational biology, bioinformatics, network biology, systems biology, image analysis"
38,Conversations.im,"Federated, end-to-end encrypted instant messaging based on XMPP/OMEMO","xmpp, java, android, javafx, python",End User Applications,"instant messaging, real time, usabilty, ui, ux"
39,Copyleft Games,"Game libraries, frameworks, and development toolkits","python, opengl, javascript, c, xmpp",Graphics / Video / Audio / Virtual Reality,"graphics, networking, web, education"
40,DBpedia,"a Large, Multilingual, Semantic Knowledge Graph"," java, scala, graph, nosql, rdf",Data and Databases,"natural language processing, big data, semantic web, data science, knowledge extraction"
41,Discourse,Civilized discussion for your community.,"ruby on rails, ember,  ruby, javascipt, html/css",Social / Communications,"asynchronous, forum, community,  real time, web development"
42,Django Software Foundation,The web framework for perfectionists with deadlines.,"python, django",Web,"web, web development"
43,Drupal,"Drupal is a Free, Open, Modular CMS written in PHP. Let's make something amazing","php,  symfony,  sql,  javascript,  drupal 8",Web,"web,  web development,  content management,  object-oriented,  cms"
44,Eclipse Vert.x,Eclipse Vert.x is a tool-kit for building reactive applications on the JVM,"java, reactive extensions, kotlin, microservices, event-loop",Programming Languages and Development Tools,"reactive, unopionated, polyglot, distributed, high performance computing"
45,Elm Software Foundation,A delightful functional language for reliable webapps.,"elm, javascript, haskell",Programming Languages and Development Tools,"functional programming, compilers, web applications, programming languages, user interface"
46,Environmental Data And Governance Initiative,International network addressing threats to US environmental & energy policy,"python, javascript, ruby on rails, google cloud, go",Data and Databases,"crawling, api, open data, machine learning, open science"
47,Fedora Project,"Fedora Linux is built on the foundations of Freedom, Friends, Features, & First","python, linux, git, postgres, ansible",Operating Systems,"linux distribution, upstream, community, web development, realtime messaging"
48,FFmpeg,"Cross-platform software to convert audio, video and subtitles.","c, assembly, git",Graphics / Video / Audio / Virtual Reality,"multimedia, video, audio, filter, compressio"
49,FOSDEM,The organization that handles all aspects of the FOSDEM conference,"git, ruby on rails, postgresql, html/css",Programming Languages and Development Tools,"web, programming tools, programming languages, ruby, rails"
50,FOSSASIA,Improve People's Lives,"python, java, javascript, android, php",Other,"event management, machine learning, artificial intelligence, cloud"
51,Free and Open Source Silicon Foundation,Umbrella for various projects around open source hardware and tools,"verilog, c, vhdl, python",Other,"hardware, eda tools, web"
52,FreeBSD,FreeBSD: The Foundation of the Internet,"c/c++, llvm, shell, make, assembly",Operating Systems,"virtualization, kernel, cloud, embedded, security"
53,Freifunk,Freifunk is a non-commercial initiative for free and open wireless networks.,"lede/openwrt, c, html/css, shell script,  javascript",Social / Communications,"wireless, routing, monitoring, firmware development, user interface"
54,Frescobaldi,Edit music scores with GNU LilyPond.,"python, pyqt",End User Applications,music engraving
55,"Genes, Genomes and Variation",Genome databases and browsers,"mysql, perl, javascript",Science and Medicine,"genomics, web"
56,GENIVI Development Platform,Open Source Automotive Development Platform,"linux, c, yocto, c++, qt",Programming Languages and Development Tools,"automotive, cars, embedded systems, embedded, automobile"
57,Gentoo Foundation,"A flexible, source-based Linux distribution.","shell, c/c++, python, linux",Operating Systems,"linux, package management, operating system, embedded, security"
58,Git,"fast, scalable, distributed revision control system","c,  shell script,  git",Programming Languages and Development Tools,"version control,  dvcs"
59,Global Alliance for Genomics and Health,We develop open standards and tools for genomics to benefit human health.," python,  java, sql, c++, mongodb",Science and Medicine,"genomics, standards, data sharing,  bioinformatics, web"
60,GNOME,Non-profit organization that creates a computing platform for the general public,"c, python, gtk+,  javascript, gobject",End User Applications,"desktop, applications, operating system"
61,GNSS-SDR,An open source Global Navigation Satellite Systems software-defined receiver,"c/c++, c++, c++11, c++14, gnss",Science and Medicine,"gnss, geolocation, navigation, software defined radio, communications"
62,GNU Octave,Free Your Numbers,"c++, hg",Programming Languages and Development Tools,"mathematics,  numerical computation, matlab, scientific computing, numerical methods"
63,GNU Radio,The Free & Open Software Radio Ecosystem,"software defined radio, c++, python, dsp",Science and Medicine,"wireless communication, signal processing, radar, gui"
64,Green Navigation,Energy efficient routing for electric vehicles,"javascript, java, react, apache spark, tensorflow",Other,"routing, eletric mobility, web, machine learning"
65,Haiku,Light open-source operating system that specifically targets personal computing.,"c++, posix",Operating Systems," desktop integration, operating system, kernel, user interface, frameworks"
66,Homebrew,Homebrew is a package manager for macOS written in Ruby.,"ruby, git, github, bash, macos",Programming Languages and Development Tools,"package management, distribution, development tools"
67,illumos.org,Open Source successor of OpenSolaris,"dtrace, illumos, unix, openzfs, zfs",Operating Systems,"drivers, virtualization, storage, networking, kernel"
68,INCF,Advancing global collaborative brain research,"c++, python, java, xml, gpu",Science and Medicine,"neuroscience, big data, brain modeling, science, bio/neuro image processing"
69,Inkscape,"Inkscape is a professional vector graphics editor for Windows, Mac OSX, & Linux.","svg, css, c++, c++11, python",Graphics / Video / Audio / Virtual Reality," graphics, web, standards, geometry"
70,Institute for Artificial Intelligence,Research in Artificial Intelligence and Perception for Autonomous Mobile Robots,"lisp, prolog, c++, python, ros",Science and Medicine,"artificial intelligence, robotics, knowledge representation, machine learning, robot perception"
71,Intel Media and Audio for Linux,"Open Source Media libraries, Applications and User space driver.","video, decode, encode, vpp, multimedia",Graphics / Video / Audio / Virtual Reality,"accelerated media, video, compress, encoding, camera"
72,Internet Archive,Universal Access to All Knowledge,"python, javascript",Web,"web archiving, non-profit"
73,JBoss Community,Community of Java projects around JBoss Middleware,"java, android, asciidoctor, mobil, kubernetes",Programming Languages and Development Tools,"testing, monitoring, enterprise application, eclipse, openshift"
74,JdeRobot - Universidad Rey Juan Carlos,A software framework for developing applications in robotics and computer vision,"python, c/c++, ros, gazebo",Other,"robotics, computer vision, robot simulator, teaching"
75,Jitsi,Advanced Real-Time Communication,"webrtc, java, javascript, sip, xmpp",Social / Communications,"multimedia, real time"
76,Joomla,A free and Open Source CMS Trusted By Millions for their Websites,"php, html, html/css,  javascript, jquery",Web,"web, web application,  cms,  object-oriented"
77,JSK Robotics Laboratory,Humanoid Robotics Laboratory at the University of Tokyo,"ros, lisp, prolog, openhrp, openrtm",Science and Medicine,"robotics, artificial intelligence"
78,K-9 Mail,K-9 Mail – Advanced Email for Android,"android, java",End User Applications,"email, communication"
79,KDE,Experience Freedom!,"c++, qt, qt5",End User Applications,"desktop, desktop application, education, science, communication"
80,LabLua,Programming Languages Research with emphasis on  the Lua language,"lua, céu",Programming Languages and Development Tools,"scripting languages, reactive programming"
81,LibreHealth,Healthcare for Humanity,"java, php, javascript, mysql",Science and Medicine,web
82,LibreOffice,"Free Office Suite, Fun Project, Fantastic People","c++, python, java",End User Applications,"office suite, desktop application"
83,libvirt,virtualization abstraction library,"kvm, xen, hypervisor",Cloud,"virtualization, library"
84,Liquid Galaxy Project,Get immersed in open-source!,"javascript, ros, gis, cesiumjs",Graphics / Video / Audio / Virtual Reality,"virtual reality, geospatial, visualisation, graphics, webvr"
85,LLVM Compiler Infrastructure,llvm,"llvm, clang",Programming Languages and Development Tools,"compiler, compilers"
86,lowRISC,Creating a fully open-source SoC design,"verilog, chisel, risc-v, linux",Other,"fpga, hardware, soc, security"
87,LuaRocks,The package manager for the Lua programming language,"lua,  lua, luarocks",Programming Languages and Development Tools,"programming tools, programming language, package management"
88,MariaDB,One of the most popular databases on the web with many notable users,"mariadb, mysql, c, c++, java",Data and Databases,database
89,Matrix.org,An ambitious open source project creating a new decentralised comms ecosystem.,"react,  android, ios, golang, nodejs",Social / Communications," real time, communication, collaboration, decentralisation, interoperability"
90,MBDyn,High fidelity multibody dynamics engine with extended capabilities,"c++, python",Science and Medicine,"engineering, science, numerical methods, aerospace, mechanics"
91,MetaBrainz Foundation Inc.,MetaBrainz operates MusicBrainz and a number of related open data projects.,"postgres, perl, python, javascript, bigquery",Data and Databases,"music, data, big data, open data, community"
92,Metasploit,Open Source framework for exploit development and penetration testing,"ruby, c, asm",Security,"security, exploitation"
93,Microkernel devroom,"Confederation of microkernel projects (Genode, HelenOS, GNU Hurd, MINIX, Redox)","c, c++, rust, arm, x86",Operating Systems,"microkernel, components, ipc, desktop, virtualization"
94,Mifos Initiative,End Poverty One Line of Code at a Time,"java, android, angularjs, spring, mysql",End User Applications,"fintech, mobile banking, digital financial services, microfinance, financial inclusion"
95,MIT App Inventor,Empowering anyone to make their world a better place,"java, javascipt, app, google app engine, gwt",Programming Languages and Development Tools,"mobile apps, api, blockchain, education, iot"
96,Mixxx DJ Software,DJ Your Way. For Free.,"qt, c++, c++11, midi, hid",Graphics / Video / Audio / Virtual Reality,"audio, dsp, music, dj, art"
97,mlpack,a scalable C++ machine learning library,c++,Data and Databases,machine learning
98,Mobile Robot Programming Toolkit (MRPT),Mobile Robot Programming Toolkit: empowering C++ development in robotics,"qt, c++, opengl, wxwidgets, ros",Science and Medicine,"robotics, slam, computer vision, webapps, algorithms"
99,Mono Project,Cross-platform C#/F#/.NET runtime and tools,"c#, .net, f#, c",Programming Languages and Development Tools,"compiler, ide, mobile development, web development, programming tools"
100,Moodle,The world's open source learning platform,"php, jquery, mysql, postgresql,  javascript",Social / Communications,"education, web application, e-learning, school system, learning management"
101,MovingBlocks,Terasology: like an open source Minecraft - imagine the possibilities!,"java, opengl, blender, json, gradle",End User Applications,"games, voxel, minecraft, sandbox, modding"
102,Mozilla,"Internet for people, not profit.","js, rust, html/css, c++, python",Web,"web,  web platform and services, education, web browser"
103,MuseScore,Free and open-source music notation software,"c++11, qt5, qt, breakpad",Graphics / Video / Audio / Virtual Reality,"music engraving, music, midi, sheet music"
104,National Resource for Network Biology (NRNB),Developing open source software to enable network-based biomedical discovery,"java,  javascript, python, php, c++",Science and Medicine,"network biology, graphics, web, ui/ux, database"
105,Netfilter project,FOSS community-driven project that provides firewalling tools for Linux,"linux, kernel, c",Operating Systems,"firewall, networking"
106,Nmap Security Scanner,Swiss Army knife of network discovery and security auditing,"c/c++, lua, python, c, c++",Security,"security, networking, ipv6, linux, network mapping"
107,NumFOCUS,NumFOCUS promotes open source scientific software.,"python, javascript, r, c/c++",Science and Medicine,"scientific computing,  numerical computation,  graphics,  data science"
108,Open Bioinformatics Foundation,Promoting practice & philosophy of OSS & Open Science in biological research.," python, perl, java, c++, c/c++",Science and Medicine,bioinformatics
109,Open Chemistry,Advancing Open Source and Open Science for Chemistry,"python, c++, opengl, javascript, java",Science and Medicine,"scientific visualization, graphics, chemistry, data science"
110,Open Data Kit,Open Data Kit is used to collect data for social good in difficult environments.,"android, java, python, javascript, ruby",End User Applications," mobile, cloud, global development, global health, social good"
111,Open Detection,Open Detection is a open source project for object detection and recognition.,"c++, caffe, pcl, opencv",Other,"computer vision, ai"
112,Open Genome Informatics,Open Genome Informatics represents the efforts of many bioinformatics projects.,"python, java, javascript, nodejs, gwt",Science and Medicine,"bioinformatics, data mining, genome, databases, computational biology"
113,Open States,Opening State Legislatures,"python, django, javascript, postgresql",Other,"government, web, journalism, civic"
114,Open Technologies Alliance - GFOSS,Promote Openness through use and development of Open Standards and Technologies," php,  java,  mysql,  virtuoso, python",Other,"data, cloud, hardware"
115,OpenAstronomy,Opening the eyes of research astronomy software to the whole world.,"python, julia, qt",Science and Medicine,"visualisation, data science, astrophysics, solar physics"
116,OpenCV,Open Source Computer Vision and Machine Learning Library,"vision,  deep learning,  c++,  python",Graphics / Video / Audio / Virtual Reality,"computer vision,  deep learning,  robotics,  virtual reality,  real time"
117,OpenMRS,Write Code. Save Lives.,"java, javascript, html/css, hibernate, mysql",Science and Medicine,"clinical, developing world, medical records"
118,OpenStreetMap,OpenStreetMap - Creating and distributing free geographic data for the world.,"postgis,  java,  ruby,  javascript",Data and Databases,"gis,  maps,  crowdsourcing,  geoinformatics"
119,openSUSE,"The makers' choice for sysadmins, developers and desktop users.","ruby on rails, javascript , docker, linux, angular.js",Operating Systems,"linux distribution, web development, realtime, virtualization, conferences"
120,OpenWISP,Open Source solution to build and manage wifi networks,"python, django, javascript, openwrt, raspberry pi",Web,"networking, wireless, configuration management, telecommunications, web"
121,Oppia Foundation,Oppia is a tool for collaboratively building interactive and intelligent tutors.,"python, google app engine, angularjs, javascript, css",Web,"education, interactive, web, tools, community"
122,OSGeo,Open Source Geospatial Foundation,"c++,  python,  c,  sql, java",End User Applications,"gis,  cartography,  maps,  science,  geospatial"
123,oVirt,Open virtual datacenter management for all,"java,  python, kvm",End User Applications,"virtualization, enterprise application"
124,ownCloud,A safe home for all your data,"php, qt,  android, ios, javascript",Cloud,"cloud, sync, file share"
125,P2PSP.org,Shaping the future Internet TV,"c++, python, qt, sockets, webrtc",Graphics / Video / Audio / Virtual Reality,"p2p, multimedia, streaming, security, video"
126,PEcAn Project,Develop accessible tools for reproducible ecosystem modeling and forecasting,"r,  php, postgresql, javascript , c",Science and Medicine,"ecosystem models, ecological forecasting, scientific visualization, data science, climate science"
127,Performance Co-Pilot,System-level performance analysis toolkit,"python, javascript, c, linux, windows",Operating Systems,"high performance computing, visualization,  web development, kernel, performance"
128,Pharo Consortium,Pharo: The Immersive Programming Experience,"smalltalk, roassal, polymath, pharo",Programming Languages and Development Tools,"object oriented programming, dynamic environment, data science, user interface, ide"
129,phpBB Forum Software,phpBB is the most widely used free and open source forum software,"php , mysql, javascript, symfony, css",Social / Communications,"social, communication, collaboration, forum, community"
130,phpMyAdmin,A web interface for MySQL written in PHP,"php, mysql, jquery, javascript, cakephp",Data and Databases,"database, mysql, developer, administrator, web application"
131,Physical Web Project,Physical Web GSoC project based on the Physical Web,"beacon, web bluetooth, physical web, bluetooth",Other,"internet of things, beacons"
132,Plone Foundation,The premier python-based open source CMS,"python,  javascript, html/css",Web," content management, cms"
133,PMD,An extensible cross-language static code analyzer.,"java, javacc, xml, antlr, xpath",Programming Languages and Development Tools,"code quality, source code analyzer, code analysis, linter"
134,Polly Labs,Promoting Polyhedral Compilation,"llvm, integer set library, ppcg, pencil, polly",Programming Languages and Development Tools,"polyhedral compilation, parallelization, program verification, optimization, fpga"
135,Portland State University,Individual and Academic Open Source,"open hardware, language-agnostic",Other,"new projects, academic projects, individual projects"
136,PostgreSQL,"PostgreSQL is a powerful, open source object-relational database system.","postgresql, c, perl, sql",Data and Databases,"database, rdbms"
137,Public Lab,Open hardware and software to help communities measure and analyze pollution," javascript,  ruby, ruby on rails",Other,"environment, pollution, hardware, science, community"
138,Python Software Foundation,Python is a programming language used by scientists & software developers alike.,python,Science and Medicine,"hardware, programming languages,  science"
139,QEMU,Open source machine emulator and virtualizer,"c, python",Other,"compiler, virtualization, emulation, hypervisor"
140,Qubes OS,A reasonably secure operating system,"c, python, shell, xen, linux",Operating Systems,"security, privacy, virtualization, operating system"
141,R project for statistical computing,R is a free software environment for statistical computing and graphics,"r-project, c, c++, fortran, javascript",Programming Languages and Development Tools,"data science, visualization, machine learning, statistics,  graphics"
142,radare2,Radare2 reverse engineering framework and toolset,"c, rust, python, nodejs",Security,reverse engineering
143,ReactOS,"ReactOS is a free, open source, Windows compatible operating system.","c, c++",Operating Systems,"operating systems, drivers, desktop, kernel, windows"
144,Red Hen Lab,Research on Multimodal Communication,"high performance computing, machine learning, opencv, audio processing, multimodal analysis",Science and Medicine,"natural language processing, co-speech gesture, big data visualization, deep learning, multimedia"
145,RoboComp,A simple robotics framework.,"c++, cmake, python, openscenegraph, qt",Other,"computer vision, robotics, robotics simulation"
146,Rocket.Chat,The ultimate open source chat and messaging platform,"javascript, meteor.js, mongo, webrtc",Social / Communications,"chat, progressive web apps, realtime, collaboration, instant messaging"
147,Rspamd,High-performance spam filtering system,"c, lua, cmake",Social / Communications,"machine learning, email, spam filtering"
148,RTEMS Project,RTEMS is a real-time operating system used around the world and in space.,"c, python, posix",Operating Systems,"real time, operating system, kernel, embedded systems, multicore"
149,Ruby on Rails,Ruby on Rails make web application development easy and fun.,"html, ruby on rails, ruby",Web,"web, full stack"
150,Ruby Science Foundation,Tools for Scientific Computing in Ruby," ruby, science, web, data, gpu",Science and Medicine,"science, data, web, package management, hpc"
151,Sage Mathematical Software System,open source math software,"python, cython, c++, c",Science and Medicine,"mathematics, algorithms"
152,Samba,Opening windows to a wider world.,"c, python",Cloud,"samba, networks, interoperability"
153,Scala,The programming language where object-oriented meets functional.,"scala, jvm",Programming Languages and Development Tools,"compiler, programming tools, functional programming, programming languages"
154,Scilab,Numerical computational package and high-level programming language.,"c++, java, python, c, opengl",End User Applications,"graphics, numerical computing, programming language, scientific visualization"
155,ScummVM,ScummVM is a GSoC umbrella for game preservation projects,"c++, sdl, opengl, assembly",End User Applications,"game, engines, software preservation"
156,Shogun Machine Learning Toolbox,Unified and efficient Machine Learning,"c/c++, python, swig, machine learning, cmake",Science and Medicine,"machine learning,  statistics,  fast algorithms,  bioinformatics,  software engineering"
157,Sigmah,Java/GWT platform for humanitarian project management,"gwt, java, postgresql",End User Applications,"humanitarian, project-management"
158,Software Product Data Exchange (SPDX),Promoting open source compliance through standard communication of SW licenses.,"rdf, python, java,  github, c",Programming Languages and Development Tools,"compliance, opensource, licensing"
159,STE||AR Group,The C++ Standards Library for Concurrency and Parallelism,"c++, boost, hpx, c++17 parallel stl, parallel algorithms",Other,"runtime systems, c++ standardizaion, algorithms, parallel computing, high performance computing"
160,"Stony Brook University, Biomedical Informatics",Advance biomedical knowledge through innovative data science research,"big data, apache spark, matlab, c++, hadoop",Science and Medicine,"biomedical informatics, medical imaging, bioinformtics, big data, database"
161,strace,linux syscall tracer,"linux, c, git, shell script, make",Operating Systems,"linux, syscall, tracing, c, git"
162,Sugar Labs,"We make tools that learners use to explore, discover, create, and reflect."," python, javascript, gtk, android",Programming Languages and Development Tools,"learning, education"
163,Sustainable Computing Research Group ( SCoRe ),"SCoRe has conducted research covering various aspects of Security, Mobile & IOT.","python, java, gcp, android, golan",End User Applications,"iot, security, mobile applications, embedded systems"
164,SymPy,SymPy is a Python library for symbolic mathematics.,"python, c++",Science and Medicine,"mathematics,  science, computer algebra"
165,"Systers, an Anita Borg Institute community",Helping women find their potential in code.,"android, ios, python, java, javascript ",Other,"women in tech, games, peace corps, web, mobile"
166,TEAMMATES @ National University of Singapore,An online feedback management system for students and teachers,"java,  javascript, google app engine, css, java ee",Web,"education, peer feedback, webapps, saas"
167,The Center for Connected Learning and Computer-Based Modeling,NetLogo: A language and IDE for programming and scientific simulations,"javascript, scala, html5",Programming Languages and Development Tools,"simulation, education, programming language, science,  research"
168,The CGAL Project,C++ library of computational geometry and geometry processing,"c++, git, github",Science and Medicine,"computational geometry, geometry processing, mesh processing, triangulaton, arrangement"
169,The Eclipse Foundation,"An amazing open source community of tools, projects, and  collaboration.","java, geo, iot, che, ide",Other,"locationtech, developer tools, runtimes, frameworks"
170,The FreeType Project,FreeType font rendering library,"fonts, opentype, c, library",Graphics / Video / Audio / Virtual Reality,"fonts, opentype, rendering, graphics, truetype"
171,The GNU Project,GNU is an operating system that is free software,"c, guile, python",Operating Systems,operating system
172,The Honeynet Project,The Honeynet Project - R&D for Honeypot/Honeynet Technology and InfoSec Research," python, javascript, golang, android, network stack",Security,"security, honeypots, deception, research, malware"
173,The Java Pathfinder Team,JPF is a highly extensible Java virtual machine built for software analysis,"java,  jvm,  android,  distributed systems",Programming Languages and Development Tools,"program analysis ,  testing ,  verification ,  model checking,  environment generation"
174,The Julia Language,A fresh approach to Technical Computing,"julia,  javascript, gpu, c/c++, llvm",Programming Languages and Development Tools,"graphics, plotting, numerical computing, high performance computing, linear algebra"
175,The Libreswan Project,Encrypting the internet using IKE and IPsec,"c, python,  shell script",Security,"vpn, ipsec, ike"
176,The Linux Foundation,A non-profit consortium dedicated to fostering the growth of Linux,"c, c++, cups, mysql, gtk",Operating Systems,"kernel, printing, lsb, wireless, wireguard"
177,The MacPorts Project,Open Source package manager for Mac OS.,"tcl, make, git",End User Applications,"package manager, mac os x, macos"
178,The NetBSD Foundation,Of course it runs NetBSD!,"virtualization, filesystems, network stack, arm, mips",Operating Systems,"general purpose os, real unix, package management, free and open source software"
179,The ns-3 Network Simulator Project,ns-3 is a packet-level network simulator for research and education.,"c++, python",Other,"networking, computer networking, simulation, research and development"
180,The Processing Foundation,Our goal is to empower people of all backgrounds to learn how to program.,"java,  javascript,  python,  android,  opengl",Programming Languages and Development Tools,"creative coding,  graphics,  web,  education,  design"
181,The Wine Project,"Wine runs Windows applications on Linux, BSD, Solaris and Mac OS X.","c,  opengl,  directx,  x11,  win32",Other,"compatibility,  desktop integration"
182,Tiled,"A free, easy to use and flexible 2D level editor.","qt, c++, git, github",End User Applications,"edit, editing, level, game, game development"
183,TimVideos,"Software & hardware to recording + streaming conferences, meetings & usergroups.","python, verilog, fpga, vhdl, c",Graphics / Video / Audio / Virtual Reality,"hardware, embedded, video, fpga"
184,Tor,Internet privacy and anonymity,"c,  python, javascript, c++",Security,"privacy,  anonymity,  counter-censorship, free-speech"
185,UCSC Xena,Helping biologists see the bigger picture in diverse cancer genomics data,"javascript, react, clojure, d3, python",Science and Medicine,"genomics, data visualization, cancer,  bioinformatics, web application"
186,"Urban Energy Systems Laboratory, Empa",HUES is a platform for modeling & analysis of distributed energy systems,"python, gis, fast fluid dynamics",Science and Medicine,"distributed energy systems, modeling & optimization, data portal"
187,VideoLAN,"A team of volunteers, believing in the power of open source multimedia.","c++, c, opengl, qt, assembly",Graphics / Video / Audio / Virtual Reality,"video, audio, multimedia"
188,ViSP,Visual tracking and visual servoing library,"vision,  c++",Graphics / Video / Audio / Virtual Reality,"robotics, vision"
189,Wikimedia Foundation,Global movement whose mission is to bring free educational content to the world,"php , javascript ,  html ,  css ,  jquery",Web," web,  wiki, encyclopedia"
190,WorldBrain - Verifying the Internet with Science,"Full-text search your history, bookmarks and all your apps.","reactjs,  javascript",Social / Communications,"fake-news, misinformation, search, digital knowledge"
191,WSO2,Comprehensive and open source middleware platform that spans the breadth of SOA,"soa, middleware, java, distributed computing, web services",Other,"cloud, iot, security, micro services, api management"
